dataset,requested_activity,provider,measured_activity,measured_min,measured_max,speedup,speedup_min,speedup_max,latency_ms,seeds
microns_mm3,0.2,tilespmspv_cudagraph,0.1999632065181188,0.1121261194169664,0.1999915041924793,2.2430638798936595,2.175976003681581,2.9338144400856017,9.242736339569092,3
microns_mm3,0.005,vdha_cudagraph,0.0048379265337729,0.0046672297578603,0.0049813014171995,1.517043842615215,1.5037543867355392,1.8760429504549399,13.666431903839111,3
microns_mm3,0.01,vdha_cudagraph,0.009999877702005,0.0099996174935051,0.0100000078062549,1.5883886611549871,1.4990078489702938,1.7096839625576206,13.049359798431396,3
microns_mm3,0.02,vdha_cudagraph,0.0199994951955102,0.0199938356606381,0.0200009263422595,1.5991907100875231,1.5866061913213048,1.6471684025863107,12.962496280670166,3
microns_mm3,0.05,vdha_cudagraph,0.0499906064731548,0.0499468263930522,0.0500229373792632,1.556494588135416,1.5267406854112524,1.5632651039414716,13.327280044555664,3
microns_mm3,0.1,vdha_cudagraph,0.1000041763464228,0.0999664461139421,0.100046720436151,1.3661035821536818,1.3624608546032868,1.3697356864639334,15.190671920776367,3
microns_mm3,0.2,vdha_cudagraph,0.1999632065181188,0.1121261194169664,0.1999915041924793,1.1014205824656556,1.0849921843989734,1.315469423294009,18.82868766784668,3
multiarea_mam,0.005,globalatomic_cudagraph,0.0044715013438907,0.004434801624776,0.0051207458593636,1.98973008261006,1.9895741176294055,1.9929404304486984,14.108736038208008,3
multiarea_mam,0.01,globalatomic_cudagraph,0.0099999167635236,0.0099999167635236,0.0099999167635236,1.9842816232364318,1.9828351448543156,1.9847846868689878,14.151088237762451,3
multiarea_mam,0.02,globalatomic_cudagraph,0.0199977526151387,0.0199945366603709,0.0199990768318078,1.9757366195239476,1.9752801016853831,1.9773052585731996,14.20867156982422,3
multiarea_mam,0.05,globalatomic_cudagraph,0.049986909172357,0.0499768829604339,0.049995611167611,1.905791501541884,1.9006669102423264,1.9082074355697298,14.72987174987793,3
multiarea_mam,0.1,globalatomic_cudagraph,0.1000604599496343,0.0999586844399244,0.1000702969877476,1.7149488027167725,1.702385090193434,1.7230207002380808,16.369328498840332,3
multiarea_mam,0.2,globalatomic_cudagraph,0.1999866064942612,0.1999830121918737,0.2000002270085718,1.3852554064645375,1.3766003624806136,1.4034558997132842,20.264543533325195,3
multiarea_mam,0.005,persistent_spike_block,0.0044715013438907,0.004434801624776,0.0051207458593636,6.512959455512582,6.491357356453082,6.943473718477247,4.310111999511719,3
multiarea_mam,0.01,persistent_spike_block,0.0099999167635236,0.0099999167635236,0.0099999167635236,6.3220569998019736,6.164608978969454,6.336533401362631,4.440256118774414,3
multiarea_mam,0.02,persistent_spike_block,0.0199977526151387,0.0199945366603709,0.0199990768318078,6.255678402767351,6.245504331753247,6.265871533650153,4.48745584487915,3
multiarea_mam,0.05,persistent_spike_block,0.049986909172357,0.0499768829604339,0.049995611167611,5.695018021304012,5.488585347571797,5.719273012692018,4.929231882095337,3
multiarea_mam,0.1,persistent_spike_block,0.1000604599496343,0.0999586844399244,0.1000702969877476,4.256072412235187,4.222434804887702,4.270448308233726,6.595887899398804,3
multiarea_mam,0.2,persistent_spike_block,0.1999866064942612,0.1999830121918737,0.2000002270085718,2.7195439545151907,2.708735728281807,2.7250188537782285,10.322160243988035,3
multiarea_mam,0.005,tilespmspv_cudagraph,0.0044715013438907,0.004434801624776,0.0051207458593636,5.6883234272694905,5.557056904622235,5.716758540113324,4.9366559982299805,3
multiarea_mam,0.01,tilespmspv_cudagraph,0.0099999167635236,0.0099999167635236,0.0099999167635236,5.385384270791091,5.370832810044733,5.413490752497723,5.212543964385986,3
multiarea_mam,0.02,tilespmspv_cudagraph,0.0199977526151387,0.0199945366603709,0.0199990768318078,5.351645724971151,5.031467155382588,5.371224352782849,5.245599985122681,3
multiarea_mam,0.05,tilespmspv_cudagraph,0.049986909172357,0.0499768829604339,0.049995611167611,4.365071397483683,4.132262235840216,4.493819521556506,6.431183815002441,3
multiarea_mam,0.1,tilespmspv_cudagraph,0.1000604599496343,0.0999586844399244,0.1000702969877476,3.520718701336672,3.4143498025219285,3.8331807535897315,7.973535776138306,3
multiarea_mam,0.2,tilespmspv_cudagraph,0.1999866064942612,0.1999830121918737,0.2000002270085718,2.7855394574788876,2.665965666065975,2.9379988567473707,10.077967643737791,3
multiarea_mam,0.005,vdha_cudagraph,0.0044715013438907,0.004434801624776,0.0051207458593636,3.3606071330715133,3.3506241955736535,3.394110678766277,8.353424072265625,3
multiarea_mam,0.01,vdha_cudagraph,0.0099999167635236,0.0099999167635236,0.0099999167635236,3.2186186077856824,3.2119388476329522,3.2290797522524044,8.724160194396973,3
multiarea_mam,0.02,vdha_cudagraph,0.0199977526151387,0.0199945366603709,0.0199990768318078,3.1818983697960976,3.1708691605184645,3.1915373626402217,8.822431564331055,3
